"Block_Nr","Block_Name","Task_Nr","Task_Name","Trial_Nr","Trial_Id","age_input","area_01","area_02","area_03","area_04","area_05","area_06","area_07","area_08","area_09","area_10_","area_11_","area_12_","area_13_","area_14_","aud_tend_unix","aud_ts","aud_ts_unix","av_cond","condi_1","condi_2","condi_3","condi3","Condition_Id","consent","consent_copy","copy_of_condi","copy_of_condi2","correspondence_","country_current","country_home","enjoy_","Frame Time ","frame_end_unix","frame_rt","gender","interestingness_","Modality_Preference","mood congruency_","move_","Name Audio ","Name Audio _copy_4b49","Name Audio _copy_93a7","Name Audio _copy_bd6f","Name Audio _copy_c958","Name Audio _copy_c96c","Normal Vision ","Normal Vision/Hearing ","Ollen","overall_enjoy","prev_exposure","realWorldLikelihood","completed","crowdsourcing_code","crowdsourcing_subj_id","displayedLanguage","end_time","exp_subject_id","group_name","pixelDensityPerMM","rec_session_id","Screen_Height","Screen_Width","session_name","session_nr","start_time","subj_counter_global","subj_counter_per_group","subject_code","time_delay_offset","time_measure_std","unlocked"
2,"Stimulus_set3",1,"task_3","5","11","","","","","","","","","","","","","","","","","","","","","","AVI","","3","","","","","11","","","5","9911","","","","5","","0","0","","","","","","","","","","","","","yes","","","","2022-02-17T16:24:39.000Z",374862,"group_3","",419141,"900","1440","session_3",1,"2022-02-17T16:11:19.000Z","","","","not measured","",true
2,"Stimulus_set3",1,"task_3","6","12","","","","","","","","","","","","","","","","","","","","","","AVI","","3","","","","","74","","","78","15717","","","","82","","85","40","","","","","","","","","","","","","yes","","","","2022-02-17T16:24:39.000Z",374862,"group_3","",419141,"900","1440","session_3",1,"2022-02-17T16:11:19.000Z","","","","not measured","",true
2,"Stimulus_set3",1,"task_3","7","16","","","","","","","","","","","","","","","","","","","","","","AVR","","4","","","","","80","","","23","11896","","","","6","","55","0","","","","","","","","","","","","","yes","","","","2022-02-17T16:24:39.000Z",374862,"group_3","",419141,"900","1440","session_3",1,"2022-02-17T16:11:19.000Z","","","","not measured","",true
2,"Stimulus_set3",1,"task_3","8","2","","","","","","","","","","","","","","","","","","","","","","A","","1","","","","","0","","","100","62416","","","","55","","62","63","","","","","","","","","","","","","yes","","","","2022-02-17T16:24:39.000Z",374862,"group_3","",419141,"900","1440","session_3",1,"2022-02-17T16:11:19.000Z","","","","not measured","",true
2,"Stimulus_set3",1,"task_3","9","4","","","","","","","","","","","","","","","","","","","","","","A","","1","","","","","0","","","6","2767","","","","18","","20","0","","","","","","","","","","","","","yes","","","","2022-02-17T16:24:39.000Z",374862,"group_3","",419141,"900","1440","session_3",1,"2022-02-17T16:11:19.000Z","","","","not measured","",true
2,"Stimulus_set3",1,"task_3","10","10","","","","","","","","","","","","","","","","","","","","","","AVI","","3","","","","","19","","","49","8538","","","","27","","17","7","","","","","","","","","","","","","yes","","","","2022-02-17T16:24:39.000Z",374862,"group_3","",419141,"900","1440","session_3",1,"2022-02-17T16:11:19.000Z","","","","not measured","",true
2,"Stimulus_set3",1,"task_3","11","5","","","","","","","","","","","","","","","","","","","","","","V","","2","","","","","0","","","96","4803","","","","52","","77","36","","","","","","","","","","","","","yes","","","","2022-02-17T16:24:39.000Z",374862,"group_3","",419141,"900","1440","session_3",1,"2022-02-17T16:11:19.000Z","","","","not measured","",true
2,"Stimulus_set3",1,"task_3","12","15","","","","","","","","","","","","","","","","","","","","","","AVR","","4","","","","","73","","","81","15071","","","","85","","100","21","","","","","","","","","","","","","yes","","","","2022-02-17T16:24:39.000Z",374862,"group_3","",419141,"900","1440","session_3",1,"2022-02-17T16:11:19.000Z","","","","not measured","",true
2,"Stimulus_set3",1,"task_3","13","7","","","","","","","","","","","","","","","","","","","","","","V","","2","","","","","0","","","22","3476","","","","19","","31","0","","","","","","","","","","","","","yes","","","","2022-02-17T16:24:39.000Z",374862,"group_3","",419141,"900","1440","session_3",1,"2022-02-17T16:11:19.000Z","","","","not measured","",true
2,"Stimulus_set3",1,"task_3","14","9","","","","","","","","","","","","","","","","","","","","","","AVI","","3","","","","","82","","","100","41196","","","","80","","95","32","","","","","","","","","","","","","yes","","","","2022-02-17T16:24:39.000Z",374862,"group_3","",419141,"900","1440","session_3",1,"2022-02-17T16:11:19.000Z","","","","not measured","",true
2,"Stimulus_set3",1,"task_3","15","3","","","","","","","","","","","","","","","","","","","","","","A","","1","","","","","0","","","37","14892","","","","30","","51","0","","","","","","","","","","","","","yes","","","","2022-02-17T16:24:39.000Z",374862,"group_3","",419141,"900","1440","session_3",1,"2022-02-17T16:11:19.000Z","","","","not measured","",true
2,"Stimulus_set3",1,"task_3","16","1","","","","","","","","","","","","","","","","","","","","","","A","","1","","","","","0","","","69","20996","","","","27","","62","36","","","","","","","","","","","","","yes","","","","2022-02-17T16:24:39.000Z",374862,"group_3","",419141,"900","1440","session_3",1,"2022-02-17T16:11:19.000Z","","","","not measured","",true
1,"Introduction",2,"Instructions","1","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","yes","","","","2022-02-17T16:24:39.000Z",374862,"group_3","",419141,"900","1440","session_3",1,"2022-02-17T16:11:19.000Z","","","","not measured","",true
1,"Introduction",1,"Overview_&_Consent","1","1","","","","","","","","","","","","","","","","","","","","","","","","1","true","false","","","","","","","","","","","","","","","","","","","","","","false","","","","","yes","","","","2022-02-17T16:24:39.000Z",374862,"group_3","",419141,"900","1440","session_3",1,"2022-02-17T16:11:19.000Z","","","","not measured","",true
3,"End ",4,"thank_you_&_end","1","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
3,"End ",3,"end_Qs","1","1","36","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","United Kingdom","United Kingdom","","","","","0","","option_2","","","","","","","","","","","option_3","96","option_1","86","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
3,"End ",2,"AReA","1","1","","3","3","5","4","1","3","1","1","4","1","3","3","2","3","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
3,"End ",1,"end_instructions","1","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
2,"Stimulus_set1",1,"task_1","1","9","","","","","","","","","","","","","","","","","","","","AV-I","","","","3","","","","","83","","","20","32196","","","","81","","11","3","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
2,"Stimulus_set1",1,"task_1","2","4","","","","","","","","","","","","","","","","","","","","A","","","","1","","","","","0","","","6","14275","","","","20","","11","3","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
2,"Stimulus_set1",1,"task_1","3","10","","","","","","","","","","","","","","","","","","","","AV-I","","","","3","","","","","56","","","27","19598","","","","50","","10","1","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
2,"Stimulus_set1",1,"task_1","4","13","","","","","","","","","","","","","","","","","","","","AV-R","","","","4","","","","","20","","","30","21088","","","","43","","10","1","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
2,"Stimulus_set1",1,"task_1","5","7","","","","","","","","","","","","","","","","","","","","V","","","","2","","","","","0","","","88","18861","","","","100","","30","38","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
2,"Stimulus_set1",1,"task_1","6","12","","","","","","","","","","","","","","","","","","","","AV-I","","","","3","","","","","10","","","73","19086","","","","52","","76","21","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
2,"Stimulus_set1",1,"task_1","7","16","","","","","","","","","","","","","","","","","","","","AV-R","","","","4","","","","","100","","","3","16695","","","","70","","3","2","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
2,"Stimulus_set1",1,"task_1","8","6","","","","","","","","","","","","","","","","","","","","V","","","","2","","","","","0","","","62","14748","","","","65","","50","10","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
2,"Stimulus_set1",1,"task_1","9","11","","","","","","","","","","","","","","","","","","","","AV-I","","","","3","","","","","7","","","16","35680","","","","29","","10","3","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
2,"Stimulus_set1",1,"task_1","10","3","","","","","","","","","","","","","","","","","","","","A","","","","1","","","","","0","","","14","21441","","","","40","","5","6","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
2,"Stimulus_set1",1,"task_1","11","8","","","","","","","","","","","","","","","","","","","","V","","","","2","","","","","0","","","71","27009","","","","86","","12","20","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
2,"Stimulus_set1",1,"task_1","12","14","","","","","","","","","","","","","","","","","","","","AV-R","","","","4","","","","","81","","","90","25692","","","","100","","16","50","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
2,"Stimulus_set1",1,"task_1","13","5","","","","","","","","","","","","","","","","","","","","V","","","","2","","","","","0","","","78","16559","","","","77","","25","21","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
2,"Stimulus_set1",1,"task_1","14","15","","","","","","","","","","","","","","","","","","","","AV-R","","","","4","","","","","3","","","3","18898","","","","21","","5","1","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
2,"Stimulus_set1",1,"task_1","15","1","","","","","","","","","","","","","","","","","","","","A","","","","1","","","","","0","","","65","22523","","","","66","","47","19","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
